MediaId,platformId,DateAdded
560,1,01-Jul-21
560,4,01-Oct-21
561,1,01-Jul-21
562,1,01-Jul-21
563,1,01-Jul-21
564,1,01-Jul-21
565,1,01-Jul-21
566,1,01-Jul-21
567,1,01-Jul-21
568,1,01-Jul-21
569,1,01-Jul-21
570,1,01-Jul-21
571,1,01-Jul-21
572,1,01-Jul-21
573,1,01-Jul-21
574,1,01-Jul-21
575,1,01-Jul-21
576,1,01-Jul-21
577,1,01-Jul-21
578,1,01-Jul-21
579,1,01-Jul-21
580,1,01-Jul-21
581,1,01-Jul-21
582,1,01-Jul-21
583,1,01-Jul-21
583,2,January 0, 1900
584,1,01-Jul-21
585,1,01-Jul-21
586,1,01-Jul-21
587,1,01-Jul-21
588,1,01-Jul-21
589,1,01-Jul-21
589,2,January 0, 1900
590,1,01-Jul-21
591,1,01-Jul-21
591,4,04-Apr-16
592,1,01-Jul-21
593,1,01-Jul-21
593,2,January 0, 1900
594,1,01-Jul-21
594,2,January 0, 1900
595,1,01-Jul-21
596,1,01-Jul-21
596,2,January 0, 1900
597,1,01-Jul-21
598,1,01-Jul-21
599,1,01-Jul-21
599,2,January 0, 1900
600,1,01-Jul-21
601,1,01-Jul-21
601,2,January 0, 1900
601,4,01-Feb-21
602,1,01-Jul-21
603,1,01-Jul-21
604,1,01-Jul-21
605,1,01-Jul-21
606,1,01-Jul-21
607,1,01-Jul-21
608,1,01-Jul-21
609,1,01-Jul-21
610,1,01-Jul-21
611,1,01-Jul-21
611,2,January 0, 1900
611,4,01-Jul-21
612,1,01-Jul-21
613,1,01-Jul-21
613,4,01-Jul-21
614,1,01-Jul-21
615,1,01-Jul-21
616,1,01-Jul-21
617,1,01-Jul-21
618,1,01-Jul-21
619,1,30-Jun-21
620,1,30-Jun-21
621,1,30-Jun-21
622,1,30-Jun-21
623,1,30-Jun-21
624,1,30-Jun-21
625,1,30-Jun-21
626,1,30-Jun-21
627,1,30-Jun-21
628,1,30-Jun-21
629,1,29-Jun-21
630,1,28-Jun-21
631,1,28-Jun-21
632,1,28-Jun-21
633,1,28-Jun-21
634,1,26-Jun-21
635,1,26-Jun-21
636,1,25-Jun-21
637,1,25-Jun-21
638,1,25-Jun-21
639,1,25-Jun-21
640,1,24-Jun-21
641,1,24-Jun-21
642,1,24-Jun-21
643,1,24-Jun-21
644,1,24-Jun-21
645,1,23-Jun-21
646,1,23-Jun-21
647,1,23-Jun-21
648,1,23-Jun-21
649,1,23-Jun-21
650,1,22-Jun-21
651,1,22-Jun-21
652,1,22-Jun-21
653,1,22-Jun-21
654,1,22-Jun-21
655,1,21-Jun-21
656,1,21-Jun-21
657,1,21-Jun-21
658,1,21-Jun-21
659,1,20-Jun-21
660,1,19-Jun-21
661,1,19-Jun-21
662,1,19-Jun-21
663,1,19-Jun-21
664,1,19-Jun-21
665,1,19-Jun-21
666,1,19-Jun-21
667,1,19-Jun-21
668,1,19-Jun-21
668,2,January 0, 1900
669,1,19-Jun-21
670,1,19-Jun-21
671,1,19-Jun-21
672,1,19-Jun-21
673,1,19-Jun-21
674,1,19-Jun-21
675,1,19-Jun-21
676,1,19-Jun-21
677,1,19-Jun-21
678,1,19-Jun-21
679,1,19-Jun-21
680,1,19-Jun-21
681,1,19-Jun-21
681,4,19-Jul-21
682,1,19-Jun-21
683,1,19-Jun-21
684,1,18-Jun-21
685,1,18-Jun-21
686,1,18-Jun-21
687,1,18-Jun-21
688,1,18-Jun-21
689,1,18-Jun-21
690,1,18-Jun-21
691,1,18-Jun-21
692,1,18-Jun-21
693,1,18-Jun-21
694,1,17-Jun-21
695,1,17-Jun-21
696,1,17-Jun-21
697,1,17-Jun-21
698,1,17-Jun-21
699,1,17-Jun-21
700,1,17-Jun-21
701,1,17-Jun-21
702,1,17-Jun-21
703,1,17-Jun-21
704,1,17-Jun-21
704,2,January 0, 1900
