MediaId,CountryID
681,1
682,6
683,12
684,0
685,19
686,1
687,21
688,0
689,18
690,0
691,0
692,0
693,0
694,0
695,53
695,54
696,0
697,16
697,1
698,0
699,55
700,56
701,0
702,16
703,1
704,11
705,0
706,7
707,0
708,0
709,1
710,25
711,0
712,23
713,0
714,1
715,0
716,0
717,1
718,0
719,1
720,1
721,0
722,1
723,1
724,1
725,1
725,6
726,0
727,1
728,1
729,1
730,0
731,0
732,21
733,0
734,46
735,13
735,1
736,3
737,1
737,3
738,55
738,22
738,44
739,0
740,15
740,1
740,16
741,1
742,53
742,57
743,50
744,16
744,1
744,46
745,35
746,57
747,1
748,18
749,1
750,1
751,10
751,13
751,35
752,0
753,1
753,6
754,35
755,6
755,1
756,48
757,18
758,1
759,6
760,0
761,0
762,0
763,21
764,1
765,2
766,19
767,10
768,17
769,52
770,25
771,57
772,0
773,23
774,55
775,1
776,1
777,1
778,1
779,17
780,1
781,6
782,0
783,16
783,1
784,32
785,1
785,16
786,1
787,1
788,1
789,1
790,6
791,1
792,1
793,1
794,1
795,18
796,1
797,1
798,1
799,1
800,1
801,1
802,1
803,7
803,1
803,13
804,17
805,16
805,1
806,0
807,0
808,0
809,1
809,39
810,1
811,1
812,0
813,1
814,1
814,16
815,1
816,0
817,6
817,13
817,7
817,1
818,1
819,1
820,1
821,57
822,6
823,1
824,1
825,1
826,1
827,1
828,0
829,1
830,0
831,1
832,0
833,0
834,37
835,1
836,0
837,43
838,58
838,46
839,25
840,54
840,13
840,53
840,59
841,23
842,0
843,0
844,17
845,0
846,0
847,1
848,0
849,1
850,0
851,3
852,0
853,0
854,1
855,0
856,1
857,0
858,19
#N/A,0
860,45
861,12
862,0
863,1
864,1
865,0
866,1
867,1
868,1
869,16
869,1
870,10
871,1
872,3
873,1
874,3
875,6
876,0
877,3
878,3
879,20
879,48
880,1
881,1
881,9
882,2
883,60
884,1
885,21
886,16
886,2
887,0
888,61
889,0
890,1
891,1
892,6
893,3
894,0
895,10
895,32
896,13
896,1
897,1
898,0
899,0
900,19
901,1
902,1
903,21
904,3
905,1
906,15
907,11
908,1
909,1
910,3
911,1
912,3
913,0
914,3
915,6
915,1
916,7
916,13
917,1
918,1
919,3
920,1
921,10
921,1
922,1
923,1
924,0
925,1
926,0
927,1
928,0
929,1
930,0
931,1
932,1
933,6
933,13
933,19
933,1
934,6
934,1
935,6
935,16
935,1
936,1
937,0
938,0
939,0
940,0
941,0
942,0
943,1
943,12
944,1
945,15
946,6
947,1
947,13
948,1
948,6
948,13
949,1
950,1
950,28
951,1
951,6
951,31
952,1
953,1
954,1
955,16
956,13
956,1
957,1
958,0
959,0
960,3
961,0
962,0
963,1
963,6
964,0
965,0
966,0
967,32
968,0
969,41
970,1
971,1
972,19
973,11
974,3
975,3
976,1
977,11
978,11
979,11
980,11
981,11
982,11
983,11
984,19
985,11
986,11
987,11
988,0
989,43
990,11
991,11
992,45
993,0
994,1
995,18
996,11
997,17
998,12
998,6
999,3
1000,7
1000,1
1001,0
1002,16
1002,18
1002,1
1003,10
1004,23
1005,12
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,1
1013,10
1014,13
1014,1
1014,6
1014,16
1015,13
1015,6
1016,1
1017,3
1018,3
1019,3
1020,3
1020,6
1021,3
1022,3
1023,3
1024,3
1025,1
