MediaID,GenreId
687,10
688,26
688,13
688,15
689,17
689,15
689,20
690,26
690,29
690,28
691,26
691,15
692,2
692,10
693,2
693,9
693,3
694,17
694,13
694,15
695,17
695,13
695,14
696,13
696,15
697,6
697,3
697,11
698,2
698,9
698,18
699,13
699,14
699,15
700,2
700,3
700,4
701,31
701,2
702,13
703,17
703,13
703,14
704,2
704,3
704,4
705,17
705,13
705,15
706,1
706,15
706,30
707,2
707,18
707,3
708,2
708,9
708,10
709,13
709,14
710,2
710,9
710,18
711,7
711,33
712,13
712,15
712,19
713,26
713,13
713,15
714,25
714,10
715,5
715,2
715,24
716,2
716,9
716,18
717,1
718,1
719,17
719,14
720,25
721,25
722,26
723,1
724,8
725,1
726,2
726,18
726,3
727,36
728,1
729,22
730,40
731,40
